years,court,simplejudge,record,place,compromise,xword,education,mind,financial,support,attitude,confess,sequel,law,label
90,1,1,2,0,2,0,2,2,2,1,2,0,0,0,0
90,1,1,2,0,2,2,2,2,2,1,2,0,0,0,0
91,1,1,2,0,1,0,2,2,2,1,2,0,0,0,2
91,1,1,2,0,2,7,2,2,2,1,0,0,0,0,3
91,1,1,2,0,2,2,2,2,2,1,1,0,1,0,0
91,1,1,2,0,2,4,2,2,2,1,2,1,1,0,0
91,2,1,2,0,2,6,2,2,2,1,2,1,0,0,0
91,2,1,2,0,2,12,2,2,2,1,1,0,1,0,0
90,1,1,2,0,2,8,2,2,2,1,0,0,0,0,0
91,1,1,2,0,1,1,2,2,2,1,2,0,0,0,1
90,1,0,2,0,2,4,2,2,2,1,1,0,0,0,3
91,2,0,2,0,2,4,2,2,2,1,2,0,0,0,0
91,1,1,2,0,2,9,2,2,2,1,1,0,0,0,3
91,1,0,2,0,2,0,2,2,2,1,0,0,0,0,0
91,1,1,2,0,2,8,2,2,2,1,2,0,1,0,0
91,1,0,2,0,2,6,2,2,2,1,2,0,0,0,0
88,1,1,2,0,2,5,2,2,2,1,2,1,1,0,3
91,1,0,2,0,2,5,2,2,2,1,2,1,0,0,0
90,2,1,2,0,1,4,2,2,2,1,0,0,0,0,2
91,1,1,2,0,2,8,2,2,2,1,0,0,0,0,0
91,1,1,2,0,2,3,2,2,2,1,3,1,0,0,3
90,2,1,2,0,2,4,2,2,2,1,2,0,0,0,0
90,1,1,2,0,2,10,2,2,2,1,1,0,0,0,0
91,1,1,0,0,2,8,2,2,2,1,3,1,0,0,0
91,1,1,2,0,2,3,2,2,2,1,0,0,0,0,1
91,1,0,2,0,2,6,2,2,2,1,0,0,0,0,3
91,1,1,2,0,2,11,2,2,2,1,0,0,0,0,0
91,2,1,2,0,2,2,2,2,2,0,0,0,0,0,0
91,1,0,2,0,2,2,2,2,2,1,3,0,0,0,3
91,1,1,2,0,2,4,2,2,2,1,3,0,0,0,2
91,1,1,2,0,2,8,2,2,2,1,3,0,0,0,3
91,1,1,2,0,2,8,2,2,2,1,2,0,0,0,0
91,1,1,2,0,2,8,2,2,2,1,0,0,0,0,0
91,1,1,2,0,2,0,2,2,2,1,0,0,0,0,0
91,1,0,2,0,2,5,2,2,2,1,3,1,0,0,3
100,1,0,2,0,1,10,0,2,1,1,2,1,1,0,0
100,1,1,2,0,2,5,2,2,2,1,3,1,0,0,0
100,3,1,2,0,2,2,2,2,2,1,0,0,0,0,3
100,1,0,2,0,1,7,2,2,2,1,2,0,0,0,2
100,1,0,2,0,1,10,2,2,2,1,2,0,0,0,0
99,1,1,2,0,1,8,2,2,2,1,1,0,0,0,2
100,3,0,2,0,2,7,0,2,2,1,2,1,1,0,1
100,1,0,2,0,2,7,2,2,2,1,0,0,0,0,1
100,1,0,2,0,1,6,2,2,2,1,2,1,1,0,2
99,2,0,2,0,1,4,2,2,2,1,3,1,0,0,1
99,2,0,2,0,1,6,2,2,2,1,3,1,1,0,2
100,1,0,2,0,1,8,0,2,0,1,2,0,1,0,2
100,1,1,2,0,2,8,2,2,2,1,2,0,1,0,1
100,1,1,2,1,2,8,2,2,2,1,1,0,1,0,0
100,1,1,2,0,2,4,2,2,2,1,0,0,0,0,0
100,2,0,2,0,1,9,2,2,2,1,3,0,1,0,2
100,2,0,2,0,1,8,2,2,2,1,2,0,0,0,2
100,1,0,2,0,1,4,2,2,2,1,0,0,0,0,0
100,1,0,2,1,2,8,1,2,0,1,2,0,0,0,0
100,1,0,2,0,1,8,2,2,2,1,1,0,1,0,2
100,1,0,2,0,1,4,2,2,2,1,0,0,0,0,0
100,1,0,2,0,1,4,2,2,2,1,2,0,0,0,2
100,1,0,2,0,1,4,2,2,2,1,0,0,0,0,3
100,1,1,2,0,2,8,2,2,2,1,2,0,0,0,0
100,1,1,2,0,2,4,2,2,2,1,1,0,0,0,0
100,1,0,2,0,1,5,2,2,2,1,2,0,0,0,3
100,1,0,2,0,2,6,2,2,2,1,0,0,1,0,0
100,1,1,2,0,2,4,2,2,2,1,0,0,0,0,0
100,1,0,2,0,1,8,0,2,1,1,3,0,0,0,2
100,2,0,2,0,2,1,2,2,2,1,3,1,0,0,3
100,2,0,2,0,2,5,2,2,2,1,2,0,0,0,2
100,2,0,2,0,2,1,2,2,2,1,2,0,0,0,2
100,1,0,2,1,2,10,1,2,2,1,2,1,1,0,0
100,1,0,2,0,2,10,2,2,2,1,2,0,0,0,3
100,2,0,2,0,1,8,2,2,2,1,1,0,0,0,0
100,1,1,2,0,2,4,2,2,0,1,0,0,1,0,2
100,1,1,2,0,2,4,2,2,2,1,2,0,1,0,0
100,2,1,2,0,1,8,2,2,0,1,0,0,1,0,1
100,2,0,2,0,2,8,2,2,2,1,2,0,0,0,3
100,1,0,2,0,2,8,2,2,2,1,1,0,1,0,0
100,1,0,2,0,2,4,2,2,2,1,0,0,0,0,0
100,1,0,2,0,1,2,2,2,2,1,2,0,0,0,0
100,1,1,2,0,2,3,2,2,2,1,1,0,1,0,3
100,1,0,2,0,2,4,2,2,2,1,2,1,0,0,0
100,1,1,2,1,2,0,2,2,2,1,0,0,1,0,0
100,1,0,2,0,2,6,2,2,2,1,2,0,0,0,3
100,1,0,2,0,2,9,2,2,2,1,2,1,0,0,2
100,1,0,2,0,1,2,2,2,2,1,3,0,0,0,0
100,1,0,2,0,2,8,2,2,2,1,2,1,0,0,0
100,1,0,2,1,2,8,2,2,2,1,2,1,0,0,0
100,1,0,2,0,2,1,2,2,2,1,3,1,0,0,1
100,1,1,2,0,2,6,1,2,2,1,0,0,0,0,3
100,1,1,2,0,2,0,2,2,2,1,2,0,0,0,2
100,1,1,2,0,2,6,2,2,2,1,1,0,1,0,1
100,2,0,0,0,1,10,2,2,2,1,0,0,0,0,2
100,1,1,2,0,1,1,2,2,2,1,3,1,0,0,2
100,1,1,2,0,2,4,2,2,2,1,0,0,1,0,2
100,2,0,0,0,1,2,2,2,2,1,2,1,0,0,1
100,1,1,2,1,2,4,2,2,2,1,3,0,1,0,0
100,1,0,2,0,1,4,2,2,2,1,2,1,0,0,0
100,1,1,2,0,2,0,2,2,2,1,0,0,0,0,0
100,1,0,2,0,2,1,2,2,2,1,2,1,0,0,0
100,1,0,2,0,2,0,2,2,2,1,2,0,0,0,3
100,1,0,2,0,2,0,2,2,2,1,0,0,0,0,3
100,1,0,2,0,1,5,0,2,1,1,2,1,0,0,0
100,1,0,2,0,1,6,1,0,1,1,0,0,1,0,0
100,1,0,2,0,1,0,2,2,2,1,0,0,0,0,1
100,1,1,2,0,2,6,2,2,2,1,2,0,0,0,1
100,1,1,2,0,2,4,2,2,2,1,0,0,1,0,1
100,2,0,2,0,2,3,2,2,2,1,2,0,0,0,1
100,1,0,2,0,2,4,0,2,2,1,2,1,0,0,0
100,1,0,2,0,2,0,2,2,2,1,2,1,0,0,0
100,1,0,2,0,2,2,2,2,2,1,2,1,0,0,3
100,1,0,2,0,2,9,2,2,2,1,2,1,0,0,2
100,1,0,2,0,1,8,2,2,2,1,2,0,0,0,0
100,1,0,2,0,2,0,2,2,1,1,0,0,0,0,0
100,1,0,2,0,2,4,2,2,2,1,2,1,0,0,0
100,1,0,2,0,2,0,2,2,2,1,0,0,0,0,0
100,1,0,2,0,1,8,2,2,2,1,1,0,0,0,0
100,1,1,2,0,2,6,2,2,2,1,2,1,1,0,3
100,1,1,1,0,2,4,2,2,2,1,0,0,0,0,3
100,2,0,2,0,2,10,2,2,2,1,2,0,0,0,3
100,1,1,2,0,2,8,2,2,2,1,2,1,0,0,2
100,1,1,2,0,2,0,0,2,2,1,0,1,1,0,3
100,1,1,2,0,2,7,2,2,0,1,0,0,1,0,3
100,2,0,2,0,1,6,2,2,0,1,2,0,0,0,1
100,1,1,2,0,2,8,2,2,2,1,2,0,0,0,3
100,1,0,2,0,1,0,0,2,0,1,2,1,0,0,1
100,1,0,2,0,2,5,2,2,2,1,2,0,0,0,0
100,1,0,2,0,1,4,2,2,2,1,2,1,1,0,1
100,1,1,2,0,2,0,2,2,2,1,0,0,1,0,2
100,1,0,0,0,2,6,2,2,2,1,0,1,0,0,0
100,2,0,2,0,2,10,2,2,2,1,1,0,0,0,0
100,1,0,2,0,2,2,2,2,2,1,0,0,0,0,1
100,1,1,2,0,2,5,2,2,2,1,2,1,1,0,0
100,1,0,0,0,2,8,2,2,2,1,0,0,1,0,1
100,1,0,2,0,2,8,2,2,2,1,0,0,0,0,3
100,2,0,2,0,2,9,0,2,2,1,0,0,0,0,2
100,1,1,2,1,2,6,2,2,2,1,0,0,0,0,3
100,1,0,2,0,1,9,1,2,1,1,2,0,0,0,0
100,1,0,2,0,2,0,1,2,2,1,2,0,0,0,3
100,1,1,2,0,2,8,2,2,2,1,0,0,1,0,3
100,1,0,2,0,2,3,0,2,2,1,1,0,0,0,2
100,2,1,0,0,2,2,2,2,2,1,2,0,0,0,0
100,1,1,2,1,1,4,2,2,2,1,2,0,1,0,3
100,1,0,2,0,1,2,2,2,2,1,2,0,0,0,0
100,1,0,2,0,2,8,2,2,2,1,2,0,0,0,0
100,2,0,0,0,2,4,2,2,2,1,3,1,0,0,2
100,1,0,2,0,2,0,2,2,2,1,3,0,0,0,0
100,1,0,2,0,1,0,2,2,2,1,0,1,1,0,3
100,2,0,2,0,1,3,2,2,2,1,2,0,0,0,0
100,1,0,2,0,2,6,2,2,2,1,2,0,1,0,0
100,1,0,2,0,2,9,2,2,2,1,2,0,0,0,1
100,1,1,2,0,2,0,2,2,2,1,0,0,0,0,2
100,1,1,2,0,2,8,0,2,2,1,2,0,0,0,2
100,1,0,2,0,1,0,2,2,2,1,2,1,0,0,0
100,1,0,2,0,2,4,2,2,2,1,2,0,1,0,1
100,2,0,2,0,2,8,2,2,2,1,2,0,0,0,0
100,1,0,2,0,1,4,2,2,2,1,2,1,1,0,0
100,1,1,2,0,2,4,2,2,2,1,1,1,0,0,0
100,1,0,2,0,1,10,2,2,2,1,2,0,0,0,0
100,2,0,2,0,1,5,2,2,2,1,0,1,0,0,0
100,2,0,2,0,2,6,2,2,2,1,0,0,1,0,0
100,2,0,2,1,2,0,0,2,2,1,2,0,0,0,0
100,1,0,2,0,2,4,0,2,2,1,0,0,1,0,2
100,1,0,2,0,2,10,2,2,2,1,2,1,0,0,2
100,2,0,2,0,2,8,2,2,2,1,2,1,1,0,0
100,1,0,2,0,2,8,2,2,2,1,2,1,0,0,3
100,1,0,0,0,1,8,2,2,2,1,2,1,0,0,3
100,1,0,2,0,0,6,2,2,2,1,2,0,0,0,1
100,1,0,2,0,2,0,2,2,2,1,2,0,0,0,1
100,1,0,2,0,2,6,0,2,1,1,0,0,0,0,0
100,1,0,2,0,1,4,0,2,2,1,2,1,0,0,2
100,1,0,2,0,2,0,2,2,2,1,2,1,0,0,1
100,1,1,2,0,2,6,2,2,2,1,3,0,0,0,0
100,3,1,2,0,2,2,2,2,2,0,2,1,1,0,2
100,1,1,2,0,2,8,2,2,2,1,0,0,0,0,0
100,1,0,2,0,1,3,2,2,2,1,0,0,1,0,3
100,2,0,2,0,2,4,2,2,2,1,0,0,0,0,3
100,1,0,2,0,2,8,2,2,2,1,2,0,0,0,0
100,1,0,2,0,2,10,1,2,0,1,2,1,0,0,3
100,1,1,2,0,2,0,1,2,2,1,0,0,1,0,1
100,1,1,2,0,2,9,2,2,2,1,0,0,0,0,0
100,2,0,2,0,2,6,2,2,2,1,2,0,0,0,0
100,1,0,2,0,2,4,2,2,2,1,2,1,0,0,1
100,1,0,2,0,1,6,2,2,2,1,0,0,0,0,3
100,1,1,2,0,2,4,2,2,2,1,2,0,0,0,2
100,1,1,2,0,2,6,2,2,2,1,0,0,0,0,2
100,1,1,2,0,2,9,2,2,2,1,2,0,1,0,0
100,1,0,2,0,2,6,2,2,2,1,0,0,0,0,2
100,1,1,2,0,2,10,2,2,2,1,0,0,0,0,1
100,1,0,2,1,2,0,1,2,1,1,2,1,0,0,2
100,1,0,2,0,1,8,2,2,2,1,2,0,0,0,1
100,1,0,2,0,2,0,2,2,2,1,0,0,1,0,2
100,2,0,2,0,2,8,0,2,2,1,2,1,1,0,3
100,1,0,2,0,1,2,2,2,2,1,2,0,1,0,3
100,1,0,2,0,1,9,2,2,2,1,2,0,1,0,3
100,2,0,2,0,1,8,0,2,2,1,2,1,0,0,3
100,1,0,2,0,2,0,2,2,2,1,2,0,0,0,1
100,1,0,2,0,2,6,2,2,2,1,2,0,0,0,0
100,1,1,2,0,2,1,2,2,2,1,1,0,0,0,0
100,1,0,2,1,2,6,2,2,2,1,2,0,0,0,0
100,1,1,2,0,2,4,2,2,2,1,0,0,0,0,0
100,1,1,2,0,2,1,2,2,2,1,2,0,0,0,0
100,1,1,2,0,2,0,2,2,2,1,2,0,1,0,1
100,1,1,2,0,2,4,2,2,2,1,2,1,0,0,1
100,1,0,2,0,1,5,2,2,2,1,2,1,0,0,0
100,1,0,2,0,1,2,2,2,2,1,3,1,0,0,0
100,1,0,2,0,2,8,2,2,2,1,2,1,1,0,2
100,1,0,2,0,2,5,2,2,2,1,2,1,0,0,0
100,3,1,2,0,2,5,2,2,2,1,1,0,0,0,0
100,1,0,2,0,2,5,2,2,2,1,2,1,0,0,2
100,1,0,2,0,1,8,2,2,2,1,2,0,0,0,1
100,1,0,2,1,2,8,2,2,2,1,1,0,0,0,0
100,1,0,2,0,1,9,0,2,0,1,2,0,1,0,0
100,2,0,2,0,1,6,2,2,2,1,1,0,0,0,3
100,2,0,2,0,2,4,2,2,2,1,0,0,1,0,2
100,1,0,2,0,1,10,2,2,0,1,2,1,0,0,0
100,2,0,2,0,1,10,2,2,2,1,2,1,0,0,0
100,1,0,2,0,2,8,2,2,1,1,2,0,0,0,2
100,1,0,2,1,1,0,1,2,2,1,3,1,0,0,0
100,2,0,2,0,2,4,2,2,2,1,2,1,0,0,0
100,2,0,2,0,2,4,2,2,2,1,0,0,1,0,0
100,1,1,2,0,2,2,2,2,2,1,2,0,1,0,2
100,1,0,2,0,1,8,2,2,2,1,2,0,1,0,1
100,2,0,2,0,2,9,2,2,2,1,2,0,0,0,1
100,1,0,2,0,1,11,2,2,2,1,2,1,1,0,0
100,1,1,2,0,2,0,1,2,2,1,0,0,0,0,0
100,1,1,2,0,2,9,2,2,2,1,0,0,0,0,2
100,1,0,2,1,2,6,2,2,1,1,2,1,0,0,2
100,1,0,2,0,1,10,2,2,2,1,2,1,1,0,0
101,1,0,2,0,2,6,2,2,1,1,2,0,0,0,0
101,1,0,2,0,1,2,2,2,2,1,2,0,0,0,0
101,1,1,2,0,1,4,2,2,2,1,2,1,0,0,0
101,1,0,2,0,1,8,2,2,2,1,2,0,1,0,2
101,1,0,2,1,1,3,0,2,1,1,2,0,1,0,0
101,2,1,2,0,2,10,2,2,2,1,2,0,0,0,1
101,2,0,2,0,2,6,2,2,2,1,2,0,0,0,0
100,1,0,2,1,2,8,2,2,2,1,2,0,1,0,2
100,2,1,2,0,2,6,2,2,2,1,0,0,0,0,2
101,1,0,2,0,2,4,2,2,2,1,3,1,0,0,1
101,1,1,2,1,2,0,2,2,2,1,3,1,1,0,3
101,1,0,2,0,1,6,2,2,2,1,2,0,0,0,0
101,1,0,2,0,2,8,1,2,1,1,2,0,0,0,1
101,1,0,2,0,2,1,2,2,2,1,2,1,1,0,0
101,1,0,2,1,1,6,2,2,2,1,2,0,0,0,0
101,1,0,2,0,1,5,2,2,2,1,2,1,1,0,0
101,2,1,2,0,2,5,2,2,2,1,2,1,0,0,2
101,1,1,2,1,1,0,1,2,2,1,2,0,0,0,0
100,1,1,2,0,2,4,2,2,2,1,1,0,1,0,3
100,1,1,2,0,2,8,2,2,2,1,1,0,1,0,0
101,1,0,2,0,2,8,2,2,1,1,2,1,0,0,0
101,2,0,2,0,2,8,2,2,2,1,0,0,0,0,3
101,1,0,2,0,1,2,1,2,1,1,2,0,0,0,2
101,3,0,2,0,1,7,0,2,2,0,0,0,0,0,2
100,1,0,2,0,2,4,2,2,2,1,2,1,0,0,3
100,1,0,2,0,2,8,0,2,2,1,0,0,0,0,2
100,1,0,0,0,1,4,2,2,0,1,1,0,0,0,0
101,2,0,2,0,2,2,2,2,2,1,2,0,0,0,3
100,2,0,2,0,2,10,2,2,2,1,2,0,0,0,0
101,1,0,2,0,2,4,0,2,2,1,2,0,1,0,1
101,2,1,2,0,2,4,2,2,2,1,1,0,0,0,1
101,1,1,2,1,2,2,2,2,2,1,3,1,1,0,2
101,1,1,2,0,2,8,2,2,2,1,2,0,0,0,0
100,1,0,2,1,2,8,2,2,2,1,2,1,1,0,2
100,1,1,2,0,1,0,0,2,2,1,2,1,0,0,0
100,2,1,2,0,2,5,1,2,2,0,1,0,0,0,3
100,1,1,2,0,2,5,2,2,2,1,2,0,1,0,0
101,2,0,0,0,2,2,2,2,2,1,2,0,0,0,3
100,1,1,2,0,2,4,2,2,2,1,0,0,1,0,2
101,1,0,2,0,2,8,2,2,2,1,0,0,1,0,3
101,1,1,2,0,2,10,1,2,2,1,3,1,0,0,0
100,1,0,2,0,2,6,2,2,2,1,3,0,0,0,0
101,1,0,2,0,1,4,0,2,2,1,2,1,0,0,0
